iter	Passed	Remaining
331	845	427
332	847	424
333	851	423
334	853	420
335	855	417
336	857	414
337	858	411
338	863	409
339	865	407
340	867	404
341	869	401
342	871	398
343	875	396
344	877	394
345	879	391
346	881	388
347	883	385
348	885	383
349	889	381
350	891	378
351	893	375
352	896	373
353	900	371
354	903	368
355	905	366
356	906	363
357	908	360
358	913	358
359	916	356
360	918	353
361	920	350
362	923	348
363	928	347
364	930	344
365	932	341
366	934	338
367	939	337
368	943	334
369	945	332
370	948	329
371	951	327
372	956	325
373	959	323
374	963	321
375	965	318
376	967	315
377	969	312
378	971	310
379	975	308
380	977	305
381	979	302
382	982	300
383	986	297
384	988	295
385	991	292
386	994	290
387	997	287
388	1000	285
389	1002	282
390	1004	280
391	1006	277
392	1010	275
393	1012	272
394	1015	270
395	1018	267
396	1020	264
397	1023	262
398	1026	259
399	1028	257
400	1030	254
401	1032	251
402	1036	249
403	1038	246
404	1040	244
405	1042	241
406	1044	238
407	1047	236
408	1049	233
409	1052	231
410	1054	228
411	1056	225
412	1058	223
413	1061	220
414	1063	217
415	1065	215
416	1067	212
417	1069	209
418	1072	207
419	1074	204
420	1078	202
421	1080	199
422	1082	196
423	1085	194
424	1087	191
425	1089	189
426	1091	186
427	1093	183
428	1097	181
429	1099	179
430	1102	176
431	1105	174
432	1107	171
433	1110	168
434	1113	166
435	1116	163
436	1117	161
437	1119	158
438	1123	156
439	1126	153
440	1127	150
441	1129	148
442	1131	145
443	1135	143
444	1138	140
445	1140	138
446	1142	135
447	1143	132
448	1146	130
449	1149	127
450	1151	125
451	1153	122
452	1155	119
453	1157	117
454	1160	114
455	1163	112
456	1164	109
457	1166	106
458	1168	104
459	1171	101
460	1173	99
461	1175	96
462	1177	94
463	1179	91
464	1180	88
465	1183	86
466	1185	83
467	1186	81
468	1188	78
469	1190	75
470	1192	73
471	1193	70
472	1196	68
473	1198	65
474	1199	63
475	1201	60
476	1203	58
477	1204	55
478	1206	52
479	1208	50
480	1210	47
481	1212	45
482	1213	42
483	1215	40
484	1217	37
485	1219	35
486	1221	32
487	1222	30
488	1224	27
489	1226	25
490	1227	22
491	1229	19
492	1231	17
493	1233	14
494	1235	12
495	1236	9
496	1238	7
497	1240	4
498	1241	2
499	1243	0
