iter	Poisson
215	-3875.845979
216	-3875.883709
217	-3875.936439
218	-3875.968816
219	-3876.023318
220	-3876.071907
221	-3876.128315
222	-3876.152447
223	-3876.192448
224	-3876.220936
225	-3876.259197
226	-3876.300394
227	-3876.33682
228	-3876.39124
229	-3876.441317
230	-3876.483345
231	-3876.538329
232	-3876.620253
233	-3876.643907
234	-3876.69912
235	-3876.740296
236	-3876.765737
237	-3876.809635
238	-3876.84259
239	-3876.868418
240	-3876.94605
241	-3877.016399
242	-3877.047772
243	-3877.107306
244	-3877.125816
245	-3877.144475
246	-3877.171788
247	-3877.187863
248	-3877.226031
249	-3877.280394
250	-3877.316776
251	-3877.342591
252	-3877.373533
253	-3877.431861
254	-3877.460699
255	-3877.494995
256	-3877.511162
257	-3877.541723
258	-3877.567622
259	-3877.588781
260	-3877.610984
261	-3877.647961
262	-3877.67196
263	-3877.70297
264	-3877.723407
265	-3877.773615
266	-3877.806484
267	-3877.831109
268	-3877.885968
269	-3877.911872
270	-3877.937844
271	-3877.969658
272	-3878.012437
273	-3878.04121
274	-3878.072446
275	-3878.106812
276	-3878.127338
277	-3878.164303
278	-3878.194451
279	-3878.217359
280	-3878.232114
281	-3878.261778
282	-3878.295606
283	-3878.336083
284	-3878.353694
285	-3878.380468
286	-3878.412942
287	-3878.460499
288	-3878.477037
289	-3878.509232
290	-3878.575259
291	-3878.595464
292	-3878.615736
293	-3878.635257
294	-3878.661502
295	-3878.693303
296	-3878.723046
297	-3878.760072
298	-3878.766677
299	-3878.796523
300	-3878.818316
301	-3878.83752
302	-3878.861044
303	-3878.892764
304	-3878.910166
305	-3878.932192
306	-3878.955564
307	-3878.970316
308	-3878.997977
309	-3879.040774
310	-3879.063472
311	-3879.109939
312	-3879.131892
313	-3879.162142
314	-3879.191944
315	-3879.241618
316	-3879.256159
317	-3879.284055
318	-3879.322212
319	-3879.344635
320	-3879.380022
321	-3879.399976
322	-3879.438412
323	-3879.475361
324	-3879.507554
325	-3879.530422
326	-3879.578495
327	-3879.610231
328	-3879.62498
329	-3879.663631
330	-3879.68071
331	-3879.697078
332	-3879.714221
333	-3879.741795
334	-3879.761382
335	-3879.79932
336	-3879.811614
337	-3879.828854
338	-3879.848151
339	-3879.873199
340	-3879.888291
341	-3879.902401
342	-3879.927508
343	-3879.94035
344	-3879.963848
345	-3879.991206
346	-3880.006688
347	-3880.036279
348	-3880.047803
349	-3880.067179
350	-3880.08715
351	-3880.096617
352	-3880.128678
353	-3880.135351
354	-3880.156208
355	-3880.180493
356	-3880.2018
357	-3880.220955
358	-3880.256876
359	-3880.265721
360	-3880.280439
361	-3880.290628
362	-3880.307946
363	-3880.325399
364	-3880.33465
365	-3880.3416
366	-3880.376647
367	-3880.406087
368	-3880.442328
369	-3880.452199
370	-3880.488703
371	-3880.510051
372	-3880.535641
373	-3880.542477
374	-3880.556289
375	-3880.589149
376	-3880.602605
377	-3880.611268
378	-3880.619894
379	-3880.635396
380	-3880.660633
381	-3880.686775
382	-3880.69927
383	-3880.732428
384	-3880.747314
385	-3880.755018
386	-3880.769199
387	-3880.78231
388	-3880.796203
389	-3880.818192
390	-3880.826897
391	-3880.841448
392	-3880.866309
393	-3880.87696
394	-3880.891027
395	-3880.901871
396	-3880.908504
397	-3880.927971
398	-3880.955667
399	-3880.972354
400	-3880.981361
401	-3880.991949
402	-3881.018105
403	-3881.03167
404	-3881.0429
405	-3881.067175
406	-3881.077318
407	-3881.084976
408	-3881.111766
409	-3881.125975
410	-3881.137997
411	-3881.147202
412	-3881.153009
413	-3881.168056
414	-3881.179739
415	-3881.194394
416	-3881.206882
417	-3881.22228
418	-3881.234669
419	-3881.258749
420	-3881.265259
421	-3881.278716
422	-3881.287429
423	-3881.29485
424	-3881.310734
425	-3881.318747
426	-3881.336016
427	-3881.352683
428	-3881.360286
429	-3881.380241
430	-3881.393793
431	-3881.40841
432	-3881.424733
433	-3881.434097
434	-3881.450327
435	-3881.462887
436	-3881.48073
437	-3881.512718
438	-3881.528304
439	-3881.558008
440	-3881.575822
441	-3881.59347
442	-3881.60828
443	-3881.623415
444	-3881.630518
445	-3881.636249
446	-3881.644711
447	-3881.648473
448	-3881.665365
449	-3881.684031
450	-3881.690651
451	-3881.70618
452	-3881.728862
453	-3881.748065
454	-3881.756146
455	-3881.758457
456	-3881.776985
457	-3881.790289
458	-3881.8084
459	-3881.814712
460	-3881.825768
461	-3881.831936
462	-3881.835097
463	-3881.849698
464	-3881.870458
465	-3881.877936
466	-3881.8869
467	-3881.908169
468	-3881.92436
469	-3881.930457
470	-3881.942511
471	-3881.962756
472	-3881.96976
473	-3881.978114
474	-3881.991273
475	-3881.996112
476	-3882.008703
477	-3882.01649
478	-3882.034978
479	-3882.046321
480	-3882.059146
481	-3882.071692
482	-3882.082991
483	-3882.087817
484	-3882.107479
485	-3882.120438
486	-3882.138564
487	-3882.144855
488	-3882.154005
489	-3882.173168
490	-3882.180174
491	-3882.185623
492	-3882.194608
493	-3882.202636
494	-3882.207561
495	-3882.215871
496	-3882.222396
497	-3882.23256
498	-3882.238468
499	-3882.249489
